Hundename,Score,URL,EpiProgeny
"FTCh Seanbaile Regent",1.0625,"url","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Muschelsucher Clooney, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Day Mackay, Searover Easy Sjakk, Searover Kellys Guns N'roses, Streamlight's Pearl Sandy, Zetastar Zesty Boy"
"Kilmore Della",1.0625,"url","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Muschelsucher Clooney, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Day Mackay, Searover Easy Sjakk, Searover Kellys Guns N'roses, Streamlight's Pearl Sandy, Zetastar Zesty Boy"
"Rumbleton Kitty",1.0625,"url","Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
"FTCh Celtic Special",1.0625,"url","Labstratego Yellow River, Mandylike's Twinkle, Vauhti-Noudon Vauhtineito"
"FTW Greenbriar Viva of Ffynongain",1.0625,"url","Labstratego Yellow River, Mandylike's Twinkle, Vauhti-Noudon Vauhtineito"
"FTW Jagdens Jude",1.0625,"url","Meadowlark Black Kite, Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
"Birdberi Dragonfly",1.0625,"url","Meadowlark Black Kite, Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
"FIN CH Priorise Sebastian",1.0625,"url","Merjatuulian Wekkuli, Muistokas Rollo, Niinivuoren Aamu-Uninen, Usvalinnun Cessi"
"GB.Ch. Warringah's Flinders",1,"url","Aaron from Elderberry Grove, As Game As Ermara, Black Hamlet L for Lake Shasta, Catch me if you can Happy Carlo, Grages Annalouisa, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Jost vom Settenbeck"
"Hickory Jack at Jimjoy",1,"url","Aika vom Steindammer-Forst, Angel of Hope Arik, Catch me if you can Happy Carlo, Grages Annalouisa"
"Amelia's Spirit",1,"url","Aika vom Steindammer-Forst, Angel of Hope Arik, Catch me if you can Happy Carlo, Grages Annalouisa"
"FTCh Swinbrook Tan",1,"url","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Charway Rainstorm, Chilihunters Game Glen, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Hunting High And Low B'mali, Merjatuulian Wekkuli, Quickrunners Alan, Quickrunners August, Ravenfly Arielle, Sirmakan Jitterbug, Willowridge G�sta-Berling, Willowyck Unite"
"DRC-Jgd.CH. Hirsipirtin Xedos",1,"url","Ambra vom freien Blick, Aslan vom freien Blick, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, King von der Bleiburg, Nanni-Nadalina von der Bleiburg"
"Waterbrook Gentle Breeze over Rocheby",1,"url","Ambra vom freien Blick, Aslan vom freien Blick, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, King von der Bleiburg, Nanni-Nadalina von der Bleiburg"
"Southland's Savvy",1,"url","Ambra vom freien Blick, Aslan vom freien Blick, Doro�s Bennet Fellow for Life, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Kleo vom Fallenbergs-Hof"
"Massowien Brown Ibsen",1,"url","Armani Damon vom Asbrookdamm, As Game As Ermara"
"Adana vom Freienberger Hof",1,"url","Armani Damon vom Asbrookdamm, As Game As Ermara"
"FTCh Pocklea Nettle",1,"url","Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, Cosmic Cover's Mill's Jaywalker, Deep Impact As Nike, IVANTHES FIRST PLOPP, Lochmuir Casey, Meadowlark Marigold, Meadowlark Mr Badger, Pibiz Game Keeper"
"Jummi-Jammin Frankenstein",1,"url","Cannonpowder Penelope, Dark Water's Endless Star"
"Wallwein's Alion",1,"url","Cannonpowder Penelope, Dark Water's Endless Star"
"Claravale Maggie May",1,"url","Caper Cailie's Ohio, IVANTHES FIRST PLOPP"
"FTCh Drakeshead Garth",1,"url","Carson vom Stecknitztal, Limmerhultarna's Solstorm"
"FTCh Greenbriar Viper of Drakeshead",1,"url","Cliff vom Zwillbrocker Venn, Kingsdale Meadow Dark, Muschelsucher Clooney, Pibiz Game Keeper, Tealshead Bracken"
"Fobbingacre Fern of Greenbriar",1,"url","Cliff vom Zwillbrocker Venn, Hypnos Spectre, Labstratego Yellow River, Mandylike's Twinkle, Meadowlark Marigold, Meadowlark Mr Badger, Muschelsucher Clooney, Pibiz Game Keeper, Sea-Croft Kay's Iowa, Searover Day Mackay, Streamlight's Grappas Dexter, Sven (SE21895/2015)"
"FI UCH FI JCH Rosanan Earl Of Roses",1,"url","Crooked Field Action, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love"
"Jayncourt Star Tradition",1,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Kebrekato Millenium Star, Nothing Matters vom Auerswalder Teich, Riverflow Star Pleaser"
"Aiko Nightmare of Fire",1,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Ulanda aus dem Burghaus"
"Highlandhuntress of Shandon Lodge",1,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Ulanda aus dem Burghaus"
"Jayncourt Jingle Jangle",1,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Faithful Bright Eyes Autumn Love, Funny Oskar von Gugi's Kate, Hardscrabble Augusta, Holli von Gugi's Kate, Iljoscha von der Perle der S�dpfalz, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, King von der Bleiburg, Kleo vom Fallenbergs-Hof, Nothing Matters vom Auerswalder Teich"
"SE VCH �lvg�rdens L",1,"url","Dark Water's Endless Star, Fiin Hemuli"
"Multi Ch, WW'91 Blondella Bonny Lad",1,"url","Doro�s Bennet Fellow for Life, Gismo vom G?nsried, Gulliver of Woodpecker's Lane"
"FTCh Waterford Fergus",1,"url","Dual's Hope Nicam, Kingsdale Meadow Dark"
"Streamlight's Fox Mulder",1,"url","Eagle Owl's Osiris, Middle River's Forest Harmony"
"DRC-Arbeitschampion Barnlight Sappo",1,"url","Felice vom Lipperoder Bruch, Raven vom Tor zur Egge"
"Yebrek Goldilocks",1,"url","Felice vom Lipperoder Bruch, Ravenfly Arielle"
"FIN CH FIN TCH Zeiban Av Hamborg",1,"url","Fulmarus Dumpy Boy, Usvalinnun Cessi"
"FTW Saxthorpe Domino of Brindlebay",1,"url","Gr�fin von Westerholts Kastalia, Hillraisins Black Bertha, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Never change Gasper, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Perdix Gundogs Englishman in New York, Raven vom Tor zur Egge"
"Ragweed's Joplin",1,"url","Hardrocks Blue Danube, Kingsdale Meadow Dark, Muschelsucher Clooney"
"Rockledge Wordsmith of Carpenny",1,"url","Hardscrabble Augusta, Saskian Xino"
"GB SH CH Carpenny Whist",1,"url","Hardscrabble Augusta, Saskian Xino"
"Jyckeg?rdens Dancing Star",1,"url","Huntrets Scilla, Zetastar Zesty Boy"
"SE LCH Searover Cosys Arraks",1,"url","IVANTHES FIRST PLOPP, SE LCH Streamlight's Ace Leon"
"Jayncourt's Yesterdays Man",1,"url","Kebrekato Famehunter, Kebrekato Fiddle Dee, Kebrekato Millenium Star, Riverflow Star Pleaser"
"Brenda von der Bleiburg",1,"url","King von der Bleiburg, Nanni-Nadalina von der Bleiburg"
"Levenghyl Midge",1,"url","Kosta Kl�vers Bran, Sven (SE21895/2015)"
"BISS CH Hyspire Hot To Trot RN JH",1,"url","Laboriginals Oi Va Voi, Meta vom Barkendiek"
"Minefall's Mel-Lo",1,"url","Laboriginals Oi Va Voi, Meta vom Barkendiek"
"Dt.-Ch., VDH-Ch., Int.-Ch., NL-Ch., F.T. Charway Ballymurdock",1,"url","Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley"
"Int. Ch. Fee Lady vom Lauterbachtal",1,"url","Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley"
"Rosebird Gamblers Special Rose",1,"url","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Muistokas Rollo"
"Ethusan WettexGril",1,"url","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Muistokas Rollo"
"Precious for Eternity Journey Back Home",1,"url","Meta vom Barkendiek, Nothing Matters vom Auerswalder Teich"
"Black Julie vom Auerswalder Teich",1,"url","Meta vom Barkendiek, Nothing Matters vom Auerswalder Teich"
"Tupla-Pummin R?psy",1,"url","NIINIVUOREN KULTA-KUTRI, Vauhti-Noudon Vauhtineito"
"SE J(J)CH SE J(A)CH Carmal's Forever Heroine",1,"url","Reedsweeper's Desna, S?KH I VATTUMANNEN HUMLE"
"Tudorcourt Jay",1,"url","Thorsvi Rock Creek, Winning Line's License to Kill"
"Karri�rs Princess",1,"url","Thorsvi Rock Creek, Winning Line's License to Kill"
"F.Ch./Int.Ch. Gallybob Diplomat",0.9375,"url","Aaron from Elderberry Grove, As Game As Ermara, Black Hamlet L for Lake Shasta, Catch me if you can Happy Carlo, Grages Annalouisa, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
"SE VCH SE UCH DK UCH Lab Treasure's Best of All",0.9375,"url","Aika vom Steindammer-Forst, Catch me if you can Happy Carlo, Fiin Hemuli"
"GB Ch Carpenny Bonhomie",0.9375,"url","Alerich of Trickster Hero, Funny Oskar von Gugi's Kate, Hardscrabble Augusta, Holli von Gugi's Kate, Kleo vom Fallenbergs-Hof, Water Dancer A Boy Called Boje, Zlotha-Baba von der Pfalz"
"DKCH Sultana (DK 07032/83)",0.9375,"url","Alflasker Barni, Gwendy's Gandalf, Hardrocks Blue Danube"
"DKCH Dunsinane Christoff",0.9375,"url","Alflasker Barni, Armani Damon vom Asbrookdamm, As Game As Ermara"
"Eng.Nat.Ft.Ch. Pocklington Glen",0.9375,"url","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, SE J(J)CH Hillus Drake, Hunting High And Low B'mali, Merjatuulian Wekkuli, NIINIVUOREN KULTA-KUTRI, Quickrunners Alan, Quickrunners August, Sea-Croft Nimble, Sirmakan Jitterbug"
"NOJCH SE JCH  Allez Isabelle",0.9375,"url","Amamus Pica-Pica, Chilihunters Game Glen, Merjatuulian Wekkuli, Moorman's Lennie Mirak, Saku (FIN46719/07), Searover Ruffling Thea, Sirmakan Jitterbug, Streamlight's Pearl Sandy, Viltv�rdarns Galax, Willowridge G�sta-Berling"
"Int.Ch. Winnie's Frankfurter Team",0.9375,"url","Ambra vom freien Blick, Aslan vom freien Blick, Cassiopeia vom Hof F?rst, Doro�s Bennet Fellow for Life, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, King von der Bleiburg, Nanni-Nadalina von der Bleiburg"
"Rosefair Charly Brown",0.9375,"url","Angel of Hope Arik, Catch me if you can Happy Carlo, Grages Annalouisa"
"Mallorn's Chocomotion",0.9375,"url","Aprilmist Feat Wandoris, APRILMIST FLATLINER, Black Hamlet L for Lake Shasta, Just Bertha von der Tarpenbek, Saskian Xino, Wim"
"FTCh Endacott Soames of Riversway",0.9375,"url","Batmoors' Apollo Lurgan, COSMIC COVER'S WIN CALL TO FIND OUT, Dual's Hope Nicam, Flying Flap Ears Ice Age, Gr�fin von Westerholts Kastalia, Sea-Croft Nimble, Thorsvi Harris, Willowridge Five Star"
"GB ShCh Mardas Master Mariner",0.9375,"url","Black Bet's Gillie, Fulmarus Dumpy Boy, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Oliver von Obderhalden, Pictorial Betty, Pictorial Cenny, Rosanan White Gold, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
"FTCh/IrlFTCh Leacross Rinkals",0.9375,"url","Carson vom Stecknitztal, Charway Rainstorm, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Huntrets Gott Mos, Muschelsucher Clooney, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Day Mackay, Searover Kellys Guns N'roses"
"DKBRCH Pocklea Tempest of Drakeshead",0.9375,"url","Carson vom Stecknitztal, Chilihunters Over Bridge, Chilihunters Over Trouble, Searover Cosys Karo, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon, S?KH I VATTUMANNEN HUMLE"
"Bellamont Orchid",0.9375,"url","Chilihunters Game Glen, Chilihunters Pro Hazy, Hardrocks Blue Danube, SE J(J)CH Hillus Drake, Hypnos Spectre, Lochmuir Casey, Mandylike's Porsche, NIINIVUOREN KULTA-KUTRI, Polarfischer Greg, Quickrunners Alan, Quickrunners August, Reedsweeper's Desna, Searover Cosys Karo"
"Ciarog Dubh",0.9375,"url","Chilihunters Game Glen, Chilihunters Pro Hazy, Hardrocks Blue Danube, SE J(J)CH Hillus Drake, Hypnos Spectre, Lochmuir Casey, Mandylike's Porsche, NIINIVUOREN KULTA-KUTRI, Polarfischer Greg, Quickrunners Alan, Quickrunners August, Reedsweeper's Desna, Searover Cosys Karo"
"FTCh Birdbrook Teak",0.9375,"url","Flying Flap Ears Ice Age, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Lochmuir Casey, Moorman's Lennie Mirak, SE LCH Streamlight's Ace Leon, Waterfowler Ace"
"FTW Pwll-Yr Weir Mint",0.9375,"url","Glengad Dobby, Kosta Kl�vers Bran, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Sven (SE21895/2015), Winning Line's License to Kill, Zetastar Zesty Boy"
"Brown of Holbatch",0.9375,"url","Huntrets Scilla, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Meadowlark Black Kite, Searover Easy Sjakk, Searover Ruffling Thea, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Streamlight's Pearl Sandy, Viltv�rdarns Unika Enya"
"FTCh Kelland Holly",0.9375,"url","Hypnos Spectre, Never change Gasper, Quickrunners Alan, Quickrunners August, Vauhti-Noudon Vauhtineito"
"Stitchwood Rapier",0.9375,"url","IVANTHES FIRST PLOPP, Muschelsucher Clooney, Namusillan Tammikehr��j�, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon"
"Rocky Roll Ginger",0.9375,"url","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
"Lanson's Princess",0.9375,"url","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
"Wetherlam Siskin",0.875,"url","Aaron from Elderberry Grove, Alflasker Barni, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Gismo vom G?nsried, Lauterrinn's Dale Sir Wesley, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
"Oulsmi Run Away to Gowanvale",0.875,"url","Aika vom Steindammer-Forst, Armani Damon vom Asbrookdamm"
"Sandylands Rae",0.875,"url","Alerich of Trickster Hero, Clausi von der Aacher Haag, Faithful Bright Eyes Autumn Love, Gulliver of Woodpecker's Lane, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Lauterrinn's Dale Sir Falk Freddy, Nothing Matters vom Auerswalder Teich, Zlotha-Baba von der Pfalz"
"Elfi vom Hohen Stein",0.875,"url","Alerich of Trickster Hero, Donna of Anny's Labs, Dumbledore of Anny's Labs, Gismo vom G?nsried, Iljoscha von der Perle der S�dpfalz, Snowy Roxy vom Windbrunnen, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
"Joline Inkling of Follytower",0.875,"url","Alerich of Trickster Hero, Brookhill's Crabman, Clinton vom Hembeck, Gismo vom G?nsried, Gulliver of Woodpecker's Lane, Lauterrinn's Dale Sir Falk Freddy, Shadowvale's Tough Lady Hope, Zlotha-Baba von der Pfalz"
"GB.Ch. Ballyduff Marketeer",0.875,"url","Alflasker Barni, Blacky vom Alst�tter-Moor, Brookhill's Crabman, Bundy vom Hof Ibn Safinaz, Fulmarus Dumpy Boy, Lauterrinn's Dale Sir Wesley, Oliver von Obderhalden, Rosanan White Gold, Shadowvale's Tough Lady Hope, Sky Yard's Istvan Imre, Ulanda aus dem Burghaus, Usvalinnun Asterix, Usvalinnun Cessi"
"Buddy Up'n K�ppen",0.875,"url","Ambra vom freien Blick, Aslan vom freien Blick, Doro�s Bennet Fellow for Life, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
"Merry Holly",0.875,"url","Ambra vom freien Blick, Aslan vom freien Blick, Doro�s Bennet Fellow for Life, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
"Rocheby Navy Blue",0.875,"url","Angel of Hope Arik, Anthony Kenneth from Grannies Garden, Donna of Anny's Labs, Dumbledore of Anny's Labs, Holli von Gugi's Kate, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, King von der Bleiburg, Kleo vom Fallenbergs-Hof, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty, Pictorial Cenny"
"Dt Ch, VDH Ch Gina of Hunters Heide  WT, BHP, BLP, JEP, SwIII/, Btr, Markpr.B",0.875,"url","Anthony Kenneth from Grannies Garden, Deep Impact As Nike, Hof Sommerberg Carlos"
"Sulleyshill Adder",0.875,"url","Batmoors' Apollo Lurgan, Cliff vom Zwillbrocker Venn, Dual's Hope Nicam, NIINIVUOREN MEREN-SALAISUUS, Searover Ruffling Thea, Sven (SE21895/2015), Willowyck Unite"
"FIN CH Fagel?ngens Hawker Hunter",0.875,"url","Black Bet's Gillie, Brookhill's Crabman, Omenalaakson Charles For My Love, Rosanan White Gold, Usvalinnun Cessi"
"NO CH NORD UCH INT CH NORD V-78 Licithas Blizzard",0.875,"url","Black Bet's Gillie, Brookhill's Crabman, Fulmarus Dumpy Boy, Rosanan White Gold, Usvalinnun Asterix, Usvalinnun Cessi, Willowridge G�sta-Berling"
"Falcon of Drakeshead",0.875,"url","Cannonpowder Penelope, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Merjatuulian Wekkuli, Muistokas Rollo, Niinivuoren Aamu-Uninen, NIINIVUOREN KULTA-KUTRI"
"GB FTCh Middlegate Dexter of Drakeshead",0.875,"url","Carson vom Stecknitztal, Hardrocks Blue Danube, Kosta Kl�vers Bran, Limmerhultarna's Solstorm, Never change Gasper, Raven vom Tor zur Egge, Sea-Croft Nimble, Waterfowler Ace"
"Killyleagh Wanda",0.875,"url","Charway Rainstorm, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Huntrets Gott Mos, Muschelsucher Clooney, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Day Mackay, Searover Kellys Guns N'roses"
"DK BCH Hesselholt Itica",0.875,"url","Chilihunters Over Bridge, Chilihunters Over Trouble, Searover Cosys Karo, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon, S?KH I VATTUMANNEN HUMLE"
"Pocklea Mink",0.875,"url","Chilihunters Over Bridge, Chilihunters Over Trouble, Searover Cosys Karo, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon, S?KH I VATTUMANNEN HUMLE"
"INT CH, FI/EE/RUS CH Follies Storm Petrel NORDW-01, FINW-01, FINW-02",0.875,"url","Clausi von der Aacher Haag, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Jost vom Settenbeck, Meta vom Barkendiek, Nothing Matters vom Auerswalder Teich, Saskian Xino, Water Dancer A Boy Called Boje"
"FTCh Mediterian Blue",0.875,"url","Cosmic Cover's Mill's Jaywalker, Muschelsucher Clooney, Pibiz Game Keeper, Searover Sweet Flip Flop"
"SE J(J)CH Moorman's Hobgoblin Ale",0.875,"url","COSMIC COVER'S WIN CALL TO FIND OUT, Limmerhultarna's Solstorm"
"Searover Flaming Tanni",0.875,"url","COSMIC COVER'S WIN CALL TO FIND OUT, Limmerhultarna's Solstorm"
"Wolvercote Gaity Girl",0.875,"url","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, KhylarCreek Entering Mach II, Kleo vom Fallenbergs-Hof"
"AmCH Jayncourt The Professor",0.875,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Nothing Matters vom Auerswalder Teich"
"Annual's Baby Love",0.875,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Nothing Matters vom Auerswalder Teich"
"Ch Thornproof Siskin",0.875,"url","Doro�s Bennet Fellow for Life, Gismo vom G?nsried"
"FIN WCH Dual's Hope Cassiopeia",0.875,"url","Eagle Owl's Osiris, Middle River's Forest Harmony"
"FTCh Wendearose Hector of Riversway",0.875,"url","Flying Flap Ears Ice Age, Glengad Dobby"
"NORD JCH Moorman's Verona",0.875,"url","Frankie's Rolle, Huntrets Scilla, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Willowridge Five Star, Winning Line's License to Kill"
"GB.Sh.Ch. Sandylands Royal Escort",0.875,"url","Funny Oskar von Gugi's Kate, Holli von Gugi's Kate, Oliver von Obderhalden"
"FI JCH SE JCH Fieldcourt Dancing Pirate",0.875,"url","Huntrets Scilla, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Zetastar Zesty Boy"
"Shana van't Balkenhof",0.875,"url","Judges Choice Cross my Heart, Mira von Gugi's Kate"
"Eng Sh Ch Tapeatom Gadding Around at Sandylands",0.875,"url","Kebrekato Famehunter, Kebrekato Fiddle Dee, Kebrekato Millenium Star, Pictorial Cenny, Riverflow Star Pleaser"
"FTCh Mansengreen Diesel of Birdsgreen",0.875,"url","Kingsdale Meadow Dark, Meadowlark Black Kite"
"IR FTCh Ernevale Maud of Tudorcourt",0.875,"url","Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger, Pibiz Game Keeper"
"Whillanbeck Fieldfare",0.875,"url","Middle River's Forest Harmony, Waterfowler Ace"
"Keen Huntsmann of Westbrook",0.875,"url","Snowy Roxy vom Windbrunnen, Vigo von der Pfalz"
"CH Like'ims Handsome",0.875,"url","Usvalinnun Asterix, Willowridge G�sta-Berling"
"Am/Can CH Byrnebank Clearly Great JH",0.8125,"url","Aika vom Steindammer-Forst, Gent Fynn from the Old Mansion House"
"Am/Can Ch Tormentil's Candy Kisses",0.8125,"url","Aika vom Steindammer-Forst, Gent Fynn from the Old Mansion House"
"Annemieke von Thienb�ttel",0.8125,"url","Aika vom Steindammer-Forst, Armani Damon vom Asbrookdamm"
"DRC/VDH Ch Gina vom Pitscherberg",0.8125,"url","Alerich of Trickster Hero, Cassiopeia vom Hof F?rst, Iljoscha von der Perle der S�dpfalz, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
"Trenow Minuet",0.8125,"url","Alerich of Trickster Hero, Brookhill's Crabman, Gismo vom G?nsried, Gulliver of Woodpecker's Lane, Hof Sommerberg Carlos, Lauterrinn's Dale Sir Falk Freddy, Shadowvale's Tough Lady Hope, Zlotha-Baba von der Pfalz"
"GB.Ch. Timspring Sirius",0.8125,"url","Alflasker Barni, Blacky vom Alst�tter-Moor, Brookhill's Crabman, Bundy vom Hof Ibn Safinaz, Gulliver of Woodpecker's Lane, Hof Sommerberg Carlos, Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley, Usvalinnun Asterix, Usvalinnun Cessi"
"FTCh Westead Tan of Drakeshead",0.8125,"url","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Charway Rainstorm, Hunting High And Low B'mali, Merjatuulian Wekkuli, NIINIVUOREN KULTA-KUTRI, Sea-Croft Nimble, Sirmakan Jitterbug"
"GB Ch Sandylands Alpha",0.8125,"url","Amamus Pica-Pica, Dirk von Stieg"
"Eng Sh Ch Birchbrook Victoria Plum",0.8125,"url","Angel of Hope Arik, Black Hamlet L for Lake Shasta, Cassiopeia vom Hof F?rst, Country Companion's Choco Pie, Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown, Saskian Xino"
"Oliver of Kawarika",0.8125,"url","Bj�ragardens Timmy-Willie, Muistokas Rollo"
"Haretor Emma",0.8125,"url","Carson vom Stecknitztal, Charway Rainstorm, Chilihunters Game Glen, Deep Impact As Nike, SE J(J)CH Hillus Drake, Lochmuir Casey, Mandylike's Porsche, Merjatuulian Wekkuli, Muistokas Rollo, Namusillan Tammikehr��j�, Searover Ruffling Thea, Willowyck Unite"
"English Fin",0.8125,"url","Chilihunters Pro Hazy, Middle River's Forest Harmony"
"Black Penny Farthing of Eastdale",0.8125,"url","Cosmic Cover's Mill's Jaywalker, Glengad Dobby, Kosta Kl�vers Bran, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Winning Line's License to Kill"
"SE JCH Djurbergas Emil",0.8125,"url","COSMIC COVER'S WIN CALL TO FIND OUT, Hillraisins Black Bertha, Huntrets Gott Mos, Limmerhultarna's Solstorm"
"Briarglen's Rambling Man",0.8125,"url","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kleo vom Fallenbergs-Hof"
"Briarglen Doc's Emily Pearl",0.8125,"url","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kleo vom Fallenbergs-Hof"
"Jayncourt Junior",0.8125,"url","Doro�s Bennet Fellow for Life, Hof Sommerberg Carlos"
"FTW Lettermore Hope",0.8125,"url","Dual's Hope Nicam, Hypnos Spectre, Limmerhultarna's Solstorm, Namusillan Tammikehr��j�, Sea-Croft Kay's Iowa, Searover Cosys Karo, Searover Day Mackay, Searover Kellys Guns N'roses, Streamlight's Grappas Dexter, Sven (SE21895/2015)"
"FTCh Earsham Park Sabre",0.8125,"url","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Huntrets Gott Mos, Muschelsucher Clooney, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Ravenfly Arielle, Searover Day Mackay, Searover Kellys Guns N'roses"
